,in_morning_ave,out_morning_ave,in_evening_ave,out_evening_ave,morning_ior,evening_ior,in_weekday_ave,out_weekday_ave,in_weekend_ave,out_weekend_ave,weekday_ior,weekend_ior,weekday_ave,weekend_ave,weekdayend_r,total_io
劍潭,1539.01333333,1929.05333333,2643.87142857,2555.7952381,-0.112466119452,0.0169388147592,35627.5238095,34868.2380952,38633.4444444,37848.4444444,0.0107706576079,0.0102638678438,35247.8809524,38240.9444444,-0.12218443318,2168748.0
士林,1373.58,1827.50666667,1719.30952381,1609.34761905,-0.141803929082,0.0330349146946,29001.0952381,28950.2380952,27802.7777778,28252.1111111,0.000877583653936,-0.00801595261787,28975.6666667,28027.4444444,0.0499037089594,1721472.0
芝山,1462.40666667,1118.76666667,1223.43809524,1562.4047619,0.133133252061,-0.121674726124,23222.6666667,23342.7142857,20642.4444444,21080.2222222,-0.00257804438818,-0.0104925646598,23282.6904762,20861.3333333,0.164553903376,1353377.0
明德,935.206666667,623.62,504.238095238,769.1,0.199885383878,-0.208005953605,13296.8095238,12756.4761905,9132.0,8701.22222222,0.0207395466069,0.024155913744,13026.6428571,8916.61111111,0.561908240953,707618.0
石牌,1877.4,1796.65333333,1419.64285714,1841.87619048,0.0219775434216,-0.129459103923,30635.7142857,31739.5714286,24604.8888889,25025.7777778,-0.0176970274399,-0.00848041981212,31187.6428571,24815.3333333,0.341355582718,1756557.0
唭哩岸,632.933333333,282.866666667,294.761904762,548.547619048,0.382252311276,-0.300940173353,7789.66666667,7260.28571429,6117.55555556,5602.11111111,0.0351749254071,0.0439811522891,7524.97619048,5859.83333333,0.373216261505,421526.0
奇岩,668.18,460.633333333,400.238095238,487.038095238,0.183862699472,-0.0978274870122,9370.14285714,7969.52380952,6500.44444444,5514.22222222,0.0807754309552,0.0820848592461,8669.83333333,6007.33333333,0.544212665932,472265.0
北投,1319.62666667,823.446666667,669.595238095,1311.53809524,0.231527308134,-0.324028093588,17448.8571429,18901.0952381,14961.3333333,15738.8888889,-0.0399515817798,-0.0253273591939,18174.9761905,15350.1111111,0.252783688879,1039651.0
新北投,284.22,375.806666667,373.09047619,289.842857143,-0.138762070219,0.125574646592,6455.14285714,5775.04761905,7546.33333333,7402.44444444,0.0556079023805,0.00962546176202,6115.0952381,7474.38888889,-0.300076214393,391373.0
復興崗,298.66,146.426666667,113.085714286,255.561904762,0.342030765544,-0.386483414281,3463.14285714,3362.14285714,3332.33333333,3244.88888889,0.0147979153149,0.013295041811,3412.64285714,3288.61111111,0.0555262104463,202526.0
